Sector	Symbol	PER	MarketCap
Communication Services	T	24.4	109.43B
Communication Services	VZ	28.3	131.62B
Communication Services	FOX	38.0	14.25B
Communication Services	OMC	40.2	14.73B
Communication Services	FOXA	41.1	15.43B
Consumer Discretionary	CZR	9.9	9.11B
Consumer Discretionary	CCL	15.9	17.09B
Consumer Discretionary	GM	16.2	41.52B
Consumer Discretionary	PHM	22.3	16.03B
Consumer Discretionary	F	25.6	49.07B
Consumer Staples	BG	27.8	17.31B
Consumer Staples	KHC	38.6	38.56B
Consumer Staples	TAP	38.9	13.32B
Consumer Staples	ADM	42.4	39.3B
Consumer Staples	CAG	50.4	16.11B
Energy	PSX	42.6	72.26B
Energy	VLO	43.7	84.89B
Energy	DVN	45.3	31.23B
Energy	APA	45.5	17.35B
Energy	EOG	50.4	78.27B
Financials	BRK-B	0.0	572.19M
Financials	MTB	24.9	21.57B
Financials	HBAN	25.9	14.48B
Financials	RF	27.0	15.7B
Financials	BAC	28.7	212.84B
Health Care	OGN	18.3	4.43B
Health Care	DVA	37.4	6.68B
Health Care	CNC	41.3	43.69B
Health Care	VTRS	43.1	11.39B
Health Care	UHS	50.2	8.61B
Industrials	AAL	5.7	7.66B
Industrials	EMR	9.7	90.34B
Industrials	UAL	11.8	12.7B
Industrials	DAL	12.2	22.32B
Industrials	ALK	19.0	4.56B
Information Technology	HPQ	34.1	26.13B
Information Technology	HPE	45.6	21.14B
Information Technology	CSCO	55.4	219.12B
Information Technology	SEDG	56.7	6.77B
Information Technology	GEN	57.9	10.94B
Materials	ALB	29.5	19.17B
Materials	CF	31.5	16.59B
Materials	MOS	32.7	12.08B
Materials	STLD	34.9	28.36B
Materials	NUE	38.3	55.91B
Real Estate	UDR	34.3	11.91B
Real Estate	VICI	42.2	29.15B
Real Estate	HST	53.7	11.28B
Real Estate	AVB	68.1	25.05B
Real Estate	SPG	75.3	36.7B
Utilities	NEE	39.5	110.27B
Utilities	CEG	43.9	36.61B
Utilities	PEG	51.3	30.34B
Utilities	NRG	56.5	17.42B
Utilities	D	58.5	35.05B
