,MarketCap,Volume,CurrentPrice,52WeekLow,52WeekHigh,ROE(%),ROA(%),OperatingProfitMargin(%),NetProfitMargin(%),EPS,PER,PBR,PSR,PCR,DividendYield,DividendPayoutRatio
IRM,17.6B,885.04K,60.3,45.04,64.48,0.021906141790385126,0.0006835118768282819,19.008259593972028,226421.05263157896,0.0003906451346083977,154360.04162065987,33.814329585119246,12.958670176470191,55.46114466051205,0.04157545657909712,-1583.7368421052631
AMD,173.5B,52.8M,105.09,55.71,132.83,0.04896982008125363,0.03972516073977077,-0.37320395596193323,-74.07407407407408,0.01635372501514234,6426.058664957683,3.1468293665455858,32.376111952576494,457.7930975035816,0.0,
CDAY,11.3B,1.23M,72.64,52.92,79.66,0.13838050174091598,0.03818298270680396,8.034982235583493,948.3870967741937,0.019931881701247312,3644.41252855232,5.043156342519503,30.87641114652143,138.28248272352744,0.0,
GE,119.05B,3.61M,109.38,53.419205,117.96,0.10813148788927336,0.021471602272308994,4.719128039286142,2251.4285714285716,0.03215793942317622,3401.3372503148576,3.677916576897554,7.129404944365794,251.1535944325317,0.002765139948753737,-4.2
INTU,149.48B,1.63M,533.05,352.63,558.64,0.5153743702588454,0.320374370050396,0.6268436578171092,19.101123595505616,0.3173799394481868,1679.5327036729448,8.655881094845798,55.117408048264046,177.52780359488372,0.007541506597991571,-2.49438202247191
AXON,20.46B,401.73K,215.43,121.78,229.95,0.8595167605768314,0.4035869193645033,10.74705356308645,324.14653784219,0.13075992329635533,1647.5230884582961,14.16073707967211,54.62350144459374,479.7035999308899,0.0,
ES,19.81B,4.74M,55.03,53.1,87.71,0.09816884736201938,0.028276626522547917,21.323281642327245,3635.468810789781,0.04284078423658482,1284.5236089843288,1.261002021032928,7.534175127372673,34.266109281388495,0.04839178737183366,-15.006678770587472
VRSK,134.7B,1.02M,247.6,162.94,249.26,64.38848920863309,4.562411659753922,45.33333333333333,155.4088369730828,0.36194650810019924,684.0790021794364,440.4681344968314,199.5483785616756,698.2641551536083,0.005371566911205806,-0.25139664804469275
IFF,17.87B,2.07M,64.8,62.11,118.34,0.15240460600587039,0.07835398589628255,5.291908501194947,574.074074074074,0.09792307728101228,661.7439407648479,1.0085282456903868,6.100063639689619,72.04470322843102,0.04999999764524871,-7.666666666666667
FICO,79.56B,146.26K,895.34,400.23,916.41,-18.290112162914646,8.125742709847284,44.40339312946465,137.49126267882383,1.4490473457352826,617.8818307700989,-113.01127988212153,199.54758800439538,648.8006129919296,0.0,
KMB,45.59B,1.24M,120.41,111.85,147.87,15.668202764976957,0.5867801875395502,15.017530190884301,755.8823529411765,0.2694136291600634,446.9336018281824,70.02646295925439,8.879475533010247,57.925320694376886,0.039033301694674685,-3.911764705882353
EBAY,72.3B,7.03M,41.79,37.08,52.23,3.2460136674259683,0.8568851473241131,20.393700787401574,302.9239766081871,0.09884393063583816,422.7877285605983,13.723747453276824,28.46326834010327,120.29401261873927,0.023211294059569888,-0.7777777777777778
WELL,43.42B,2.73M,85.15,56.66,86.72,0.4642881571283778,0.2571876317808933,19.100702621109374,308.73253105590067,0.2020650324657166,421.3989946049963,1.9565056262090492,26.071165397620874,104.31585341349161,0.0286553136379972,-2.9445069875776397
HES,49.43B,1.6M,160.98,113.82,165.43,1.3367782520781846,0.5353126405757985,23.503713411970292,452.10084033613447,0.3875566451896995,415.37152755758655,5.552596245714761,21.594238435715507,50.748677391532645,0.010491986860644825,-1.1260504201680672
ANSS,27.93B,361.01K,293.13,206.36,351.23,1.4147369003656998,1.0525866386324094,19.25577780059968,137.5370365043293,0.729799153449357,401.6584610948767,5.682410462550229,56.23391542488486,444.2100048688066,0.0,
VRSN,73.61B,452.64K,207.47,174.41,229.72,-11.477841646578899,11.072024803243501,66.85483870967742,133.92568659127625,0.5233934611048479,396.39394955899553,-45.49746982700134,197.87730223953082,506.609473042708,0.0,
FMC,11.61B,1.09M,62.41,61.5,134.38,0.9030615266181087,0.2551938217994093,13.750616067028092,457.37704918032784,0.16399278491966654,380.5655223062664,3.436740815521148,11.441348871701454,99.03795589028265,0.03717352997391813,-2.3836065573770493
RVTY,13.16B,543.18K,105.85,104.09,150.17,0.4518321444663364,0.250088810046651,11.008284137160716,219.51123484912398,0.28596588578735316,370.14904131897794,1.6724523511131235,18.562629938907712,-97.26741817676405,0.002645252754240297,-0.24739165893304085
TYL,18.06B,233.42K,375.16,281.11,426.83,1.7747668112465236,1.0598528890537022,12.269795093589064,125.93934459596987,1.020396104350736,367.66114851136024,6.525128041627413,35.8198382767538,-941.575908380063,0.0,
PGR,123.59B,6.39M,154.95,111.41,155.38,2.0668649357021893,0.4164195155355584,,,0.4330308891313923,357.8266604930959,7.395793776325919,8.053046674636443,52.88546364326715,0.0032268474336725195,-0.19687319050376376
PANW,79.97B,2.99M,259.4,132.22,265.9,13.023335621139328,1.5702257070153296,12.978037167869758,111.33069828722002,0.7385663314952968,351.22098427003135,45.740687553355144,40.942516827054796,193.1248928236806,0.0,
PODD,9.24B,2.01M,132.38,125.82,335.91,4.928687488716375,1.1442702657389554,7.843631778058008,113.91941391941391,0.39109232645482156,338.48786061033815,16.68300883672546,23.305721550220003,210.0163316968689,0.0,
EQIX,69.61B,263.66K,742.64,518.3,821.63,1.7182338783301518,0.6558442700109244,16.654858680702812,162.37405206974836,2.208634297495071,336.24399272016416,5.777458196767831,34.488861425864144,93.90635589581463,0.017949477185538357,-1.5468434526397141
JNPR,8.15B,2.95M,25.66,25.37,34.53,0.5602884107557005,0.2602527865180524,11.020208377036571,645.9016393442622,0.07677784770295784,334.2109816191626,1.8725453974850326,5.702222188313802,23.77477536882673,0.033904910567945395,-2.8647540983606556
LLY,578.55B,3.95M,609.2,309.2,629.97,15.814445749957395,3.2166964644069034,26.74173794829225,126.06624319419237,1.8566097497283318,328.1249666474995,51.89114484253461,69.60334225922102,915.5719911265566,0.007173341944246208,-0.5772459165154264
CSGP,32.76B,1.2M,80.3,65.12,92.36,1.4155609181261646,1.156509091344199,13.06242222390932,78.73656983684839,0.2463659068015323,325.9379680178149,4.613850492594746,54.07321357628206,187.0434823659585,0.0,
BSX,85.47B,11.15M,49.52,39.52,55.38,1.4606437652150392,0.8035475134668612,16.83801055848847,224.44444444444446,0.1564350295967341,316.553144045926,4.623713762099,23.748082493025848,129.89262749604868,0.0,-0.05185185185185185
DLR,36.69B,1.43M,122.6,86.33,133.39,0.6069303605377407,0.27881228349937787,12.902016955690213,149.15259973769938,0.3949500583086441,310.4189906925197,1.8840270993877255,26.85190260395328,79.00046602193734,0.039804241930966176,-3.249270211955832
CDNS,68.02B,1.31M,250.25,138.76,255.85,7.602661894373473,4.289324563288875,30.65251249514888,135.37717076700434,0.8135692998270724,307.59518587192474,23.38542198521208,69.64664149034537,164.37984266621552,0.0,
NVR,121.94B,23.35K,5932.1,3935.0,6525.0,9.727941620841252,6.4471279086930675,20.36028389264066,118.02899311184649,19.655583247751313,301.8022931644579,29.359150889398634,52.061618135261206,4251.317031600183,0.0,
IT,58.61B,455.09K,358.22,277.08,377.88,33.766576983014666,2.6922893397751175,19.224912435927713,145.92083537413592,1.2105164906015522,295.9232724229059,99.92315959333673,38.98757148351637,134.48360106761996,0.0,
SPGI,150.94B,659.57K,363.71,287.31,428.65,1.3079423583915637,0.8419144904852129,32.86036762334731,199.412915851272,1.2313253012048193,295.3809128255527,3.8634120774490626,48.674507079605746,196.28042451736985,0.00976052372330404,-0.5636007827788649
TSLA,797.05B,101.89M,251.12,101.81,299.29,5.179947108198229,2.9837401066331095,9.624102378946525,88.75323714391416,0.8516068052930057,294.8778633007596,15.274517352764423,31.97556322469423,260.0505267543077,0.0,
A,32.35B,2.8M,110.51,106.82,160.26,1.9971212666426774,1.0398126463700235,7.954545454545454,119.81981981981981,0.3791669940255579,291.454699057433,5.8207037775054085,19.348966265176472,57.564896077179824,0.01004433968458036,-0.5945945945945946
MCO,108.84B,445.27K,317.4,233.22,363.19,11.382850241545894,2.5661969913552514,37.48326639892905,148.54111405835545,1.0994386178928555,288.6927825991794,32.86146710141625,72.84951742964567,180.1940050329315,0.009483302009708514,-0.376657824933687
